CGAIdent,HUKSegment
3,Family Pub Dining
4,GPGF
8,Sports Clubs
11,Hotel
12,Restaurants
13,Clubland
14,Premium Local
64,Premium Local
66,Restaurants
70,Restaurants
72,GPGF
86,Clubland
87,ABOS
89,ABOS
90,Clubland
208,Premium Local
209,GPGF
214,Premium Local
215,Premium Local
312,Clubland
315,Community Pub
316,Community Pub
318,Restaurants
380,Sports Clubs
381,Casual Dining
382,Circuit Bar
383,GPGF
391,Premium Local
392,Restaurants
397,ABOS
401,Hotel
894,Premium Local
896,Clubland
897,Hotel
898,Community Pub
17,Restaurants
18,Sports Clubs
20,Circuit Bar
21,Circuit Bar
22,High Street Pub
25,Restaurants
28,Circuit Bar
29,ABOS
30,Circuit Bar
31,Casual Dining
35,ABOS
36,Clubland
40,ABOS
41,Circuit Bar
43,Clubland
44,Circuit Bar
47,ABOS
49,GPGF
50,Restaurants
52,Circuit Bar
53,ABOS
55,GPGF
56,ABOS
63,Premium Local
74,High Street Pub
75,Large Venue
76,Restaurants
77,Hotel
78,Casual Dining
80,High Street Pub
81,Premium Local
82,GPGF
84,High Street Pub
85,Clubland
91,ABOS
93,High Street Pub
96,High Street Pub
99,Circuit Bar
102,ABOS
109,Restaurants
111,ABOS
114,Clubland
116,High Street Pub
125,ABOS
128,Clubland
133,Restaurants
137,Restaurants
138,Clubland
139,ABOS
140,Family Pub Dining
142,Family Pub Dining
143,High Street Pub
145,Restaurants
147,Hotel
148,Restaurants
150,Night Club
152,Hotel
153,Hotel
154,Night Club
157,Circuit Bar
159,Restaurants
160,Restaurants
161,Night Club
164,Premium Local
167,Circuit Bar
171,High Street Pub
172,Hotel
176,Circuit Bar
181,High Street Pub
183,Hotel
184,Circuit Bar
185,High Street Pub
190,Hotel
192,Clubland
193,Community Pub
196,Premium Local
197,Community Pub
204,Clubland
206,Clubland
217,Community Pub
218,Hotel
221,Circuit Bar
224,Family Pub Dining
228,Clubland
234,Hotel
236,Casual Dining
237,Sports Clubs
240,Hotel
241,Sports Clubs
242,Hotel
243,ABOS
247,Premium Local
249,Premium Local
250,Clubland
251,Sports Clubs
252,Sports Clubs
253,Hotel
254,Sports Clubs
256,ABOS
257,Sports Clubs
259,Hotel
260,Sports Clubs
261,Premium Local
262,ABOS
266,Premium Local
269,Premium Local
271,ABOS
273,Hotel
275,Hotel
276,Family Pub Dining
277,Sports Clubs
281,Hotel
282,Hotel
292,Premium Local
295,Restaurants
296,Circuit Bar
297,Community Pub
298,Clubland
300,High Street Pub
301,Large Venue
304,Clubland
305,Clubland
307,Community Pub
311,Community Pub
